mes,ano,nascimentos,obitos,casamentos
JAN,2015,174,114,91
FEV,2015,138,77,73
MAR,2015,184,110,77
ABR,2015,183,91,83
MAI,2015,174,84,98
JUN,2015,179,95,91
JUL,2015,185,97,89
AGO,2015,165,101,83
SET,2015,169,94,104
OUT,2015,158,77,130
NOV,2015,132,82,137
DEZ,2015,162,88,132
JAN,2016,160,85,127
FEV,2016,180,81,63
MAR,2016,184,94,89
ABR,2016,190,88,92
MAI,2016,184,109,71
JUN,2016,168,103,94
JUL,2016,168,89,103
AGO,2016,160,99,85
SET,2016,144,89,111
OUT,2016,126,100,113
NOV,2016,144,75,116
DEZ,2016,147,91,141
JAN,2017,160,97,94
FEV,2017,147,59,74
MAR,2017,204,101,74
ABR,2017,159,91,94
MAI,2017,195,115,88
JUN,2017,159,90,94
JUL,2017,164,104,101
AGO,2017,162,89,82
SET,2017,184,106,146
OUT,2017,156,94,105
NOV,2017,151,96,104
DEZ,2017,159,77,109
JAN,2018,199,107,84
FEV,2018,169,82,71
MAR,2018,177,91,86
ABR,2018,202,102,93
MAI,2018,198,99,95
JUN,2018,192,104,91
JUL,2018,162,108,96
AGO,2018,177,111,86
SET,2018,130,103,121
OUT,2018,169,103,90
NOV,2018,174,75,105
DEZ,2018,129,71,104
JAN,2019,179,110,72
FEV,2019,192,88,66
MAR,2019,182,84,79
ABR,2019,179,96,84
MAI,2019,193,121,90
JUN,2019,144,105,75
JUL,2019,192,124,77
AGO,2019,163,120,83
SET,2019,162,103,97
OUT,2019,131,83,110
NOV,2019,140,93,115
DEZ,2019,156,89,126
JAN,2020,150,104,81
FEV,2020,153,79,72
MAR,2020,176,89,68
ABR,2020,204,73,53
MAI,2020,195,102,40